Model,Fold,Threshold,Accuracy,Precision,Recall,F1,F2,AP,ROC-AUC,TN,FP,FN,TP
Base XGBoost,1,0.0038608578,0.6733067729083665,0.09876543209876543,0.47058823529411764,0.16326530612244897,0.2684563758389262,0.1772248898300749,0.596279537456008,161,73,9,8
Base XGBoost,2,0.0017412215,0.545816733067729,0.09917355371900827,0.7058823529411765,0.17391304347826086,0.31746031746031744,0.2924668259432021,0.7192056309703369,125,109,5,12
Base XGBoost,3,0.0014036127,0.5418326693227091,0.1111111111111111,0.8235294117647058,0.1958041958041958,0.36082474226804123,0.1983030206627916,0.6963298139768728,122,112,3,14
Base XGBoost,4,0.0030689617,0.68,0.08974358974358974,0.4375,0.14893617021276595,0.24647887323943662,0.12101716920380798,0.6706730769230769,163,71,9,7
Base XGBoost,5,0.0025894975,0.624,0.09375,0.5625,0.16071428571428573,0.28125,0.2122016526949159,0.6517094017094017,147,87,7,9
Base XGBoost,6,0.0015537307,0.5378486055776892,0.0975609756097561,0.7058823529411765,0.17142857142857143,0.31413612565445026,0.2837978918856395,0.678984414278532,123,111,5,12
Base XGBoost,7,0.0041240253,0.7410358565737052,0.07142857142857142,0.23529411764705882,0.1095890410958904,0.16129032258064516,0.1263762251710093,0.5087983911513323,182,52,13,4
Base XGBoost,8,0.00094841217,0.4262948207171315,0.09032258064516129,0.8235294117647058,0.16279069767441862,0.31390134529147984,0.16788969433450812,0.7016088486676723,93,141,3,14
Base XGBoost,9,0.009728582,0.816,0.14285714285714285,0.375,0.20689655172413793,0.2830188679245283,0.1585803312167633,0.7064636752136753,198,36,10,6
Base XGBoost,10,0.0025545512,0.636,0.08791208791208792,0.5,0.14953271028037382,0.25806451612903225,0.08053741622033243,0.5958867521367521,151,83,8,8
Base XGBoost,11,0.0046003005,0.7091633466135459,0.13157894736842105,0.5882352941176471,0.21505376344086022,0.3472222222222222,0.19419913691526247,0.7413273001508296,168,66,7,10
Base XGBoost,12,0.0045015733,0.749003984063745,0.12903225806451613,0.47058823529411764,0.20253164556962025,0.3076923076923077,0.1083070725569996,0.6586224233283057,180,54,9,8
Base XGBoost,13,0.0012820221,0.5139442231075697,0.09302325581395349,0.7058823529411765,0.1643835616438356,0.30456852791878175,0.1572759948977007,0.6809954751131223,117,117,5,12
Base XGBoost,14,0.0018546793,0.552,0.08620689655172414,0.625,0.15151515151515152,0.2777777777777778,0.11283734112165576,0.6140491452991453,128,106,6,10
Base XGBoost,15,0.0024651543,0.584,0.1206896551724138,0.875,0.21212121212121213,0.3888888888888889,0.264190503184471,0.7582799145299146,132,102,2,14
Tuned XGBoost,1,0.050516274,0.5537848605577689,0.07964601769911504,0.5294117647058824,0.13846153846153847,0.24861878453038674,0.17934890043592794,0.5658622423328306,130,104,8,9
Tuned XGBoost,2,0.040159497,0.42231075697211157,0.08974358974358974,0.8235294117647058,0.16184971098265896,0.3125,0.2737843613524407,0.7549019607843137,92,142,3,14
Tuned XGBoost,3,0.06651522,0.6533864541832669,0.10227272727272728,0.5294117647058824,0.17142857142857143,0.28846153846153844,0.28067785647245597,0.7094017094017093,155,79,8,9
Tuned XGBoost,4,0.097642064,0.724,0.1044776119402985,0.4375,0.1686746987951807,0.26717557251908397,0.11229442220570283,0.6509081196581197,174,60,9,7
Tuned XGBoost,5,0.08922482,0.692,0.12345679012345678,0.625,0.20618556701030927,0.3448275862068966,0.20932565025790462,0.685630341880342,163,71,6,10
Tuned XGBoost,6,0.03205276,0.3545816733067729,0.08571428571428572,0.8823529411764706,0.15625,0.30864197530864196,0.31275367697408707,0.7332830568124686,74,160,2,15
Tuned XGBoost,7,0.1014072,0.7609561752988048,0.12280701754385964,0.4117647058823529,0.1891891891891892,0.28,0.1540316894502913,0.6450477626948214,184,50,10,7
Tuned XGBoost,8,0.060448162,0.5936254980079682,0.102803738317757,0.6470588235294118,0.1774193548387097,0.3142857142857143,0.1589381102153563,0.6699346405228759,138,96,6,11
Tuned XGBoost,9,0.08505257,0.704,0.1375,0.6875,0.22916666666666666,0.3819444444444444,0.16882147638812106,0.7337072649572649,165,69,5,11
Tuned XGBoost,10,0.05388,0.508,0.09774436090225563,0.8125,0.174496644295302,0.3299492385786802,0.08921997523004117,0.6452991452991452,114,120,3,13
Tuned XGBoost,11,0.08569841,0.6852589641434262,0.12195121951219512,0.5882352941176471,0.20202020202020202,0.3333333333333333,0.17369701675080773,0.7463549522373052,162,72,7,10
Tuned XGBoost,12,0.08249132,0.7330677290836654,0.1527777777777778,0.6470588235294118,0.24719101123595505,0.39285714285714285,0.16103287848332828,0.7513826043237808,173,61,6,11
Tuned XGBoost,13,0.08200402,0.701195219123506,0.10810810810810811,0.47058823529411764,0.17582417582417584,0.28169014084507044,0.17564863395189087,0.6556058320764202,168,66,9,8
Tuned XGBoost,14,0.07064377,0.676,0.10843373493975904,0.5625,0.18181818181818182,0.30612244897959184,0.15563997302643087,0.6655982905982906,160,74,7,9
Tuned XGBoost,15,0.059290554,0.552,0.11290322580645161,0.875,0.2,0.3723404255319149,0.22208481575056355,0.7833867521367521,124,110,2,14
