Feature,Importance
feature_271,0.052713513
feature_489,0.039907873
feature_199,0.03346046
feature_470,0.029924842
feature_130,0.021333443
feature_319,0.020673437
feature_31,0.019765083
feature_9,0.017718777
feature_320,0.015330959
feature_182,0.015284845
feature_55,0.015053022
feature_343,0.01453043
feature_411,0.014251829
feature_103,0.013790371
feature_150,0.012812832
feature_53,0.012425806
feature_7,0.01173156
feature_202,0.011699726
feature_214,0.010969254
feature_433,0.010368052
feature_66,0.01032838
feature_56,0.010078389
feature_124,0.009802984
feature_556,0.009687342
feature_129,0.009661291
feature_553,0.009208154
feature_341,0.00908714
feature_81,0.009009787
feature_39,0.008990296
feature_480,0.0084364265
feature_272,0.00817077
feature_417,0.008145301
feature_565,0.007930833
feature_410,0.0077702263
feature_79,0.0076717474
feature_11,0.0076432982
feature_281,0.0075604483
feature_33,0.0075529823
feature_390,0.0074998722
feature_586,0.0074497997
feature_361,0.007286043
feature_20,0.0071478095
feature_459,0.006957418
feature_137,0.0069475356
feature_316,0.0068443757
feature_365,0.006837195
feature_577,0.0064862766
feature_84,0.0064413855
feature_30,0.0062908693
feature_161,0.006179668
feature_575,0.0060650357
feature_392,0.006055394
feature_416,0.0060120826
feature_153,0.005891964
feature_32,0.005862678
feature_555,0.0058021867
feature_21,0.00573715
feature_574,0.0053300993
feature_488,0.00507324
feature_123,0.005050795
feature_131,0.005023168
feature_357,0.0050025
feature_354,0.00483177
feature_168,0.0047894395
feature_26,0.0047786776
feature_27,0.0047128336
feature_64,0.004656391
feature_280,0.004652056
feature_59,0.00462689
feature_12,0.0046222424
feature_560,0.0045934785
feature_497,0.004550322
feature_102,0.0045411238
feature_47,0.0045257416
feature_218,0.0042947005
feature_286,0.00428667
feature_238,0.0041871252
feature_500,0.0041271714
feature_115,0.0039584986
feature_176,0.0038834512
feature_99,0.003824953
feature_143,0.0037573373
feature_477,0.0037488176
feature_217,0.003727876
feature_83,0.003703688
feature_274,0.0036857938
feature_557,0.0035846734
feature_573,0.0035350197
feature_212,0.0034349551
feature_425,0.0033982734
feature_270,0.003356039
feature_336,0.0032883945
feature_471,0.0032554849
feature_366,0.0032310341
feature_133,0.0031360525
feature_185,0.0031299386
feature_362,0.0030932869
feature_408,0.002984094
feature_222,0.002979305
feature_10,0.0029337187
feature_170,0.0029090454
feature_19,0.0028613764
feature_587,0.0028132128
feature_569,0.0027138782
feature_453,0.0027049608
feature_551,0.0026508912
feature_213,0.0025950782
feature_291,0.0023401063
feature_116,0.0023367468
feature_114,0.002294075
feature_333,0.0022537445
feature_254,0.0021101385
feature_547,0.0020791711
feature_136,0.0020591929
feature_91,0.0020332742
feature_253,0.001971318
feature_67,0.0019568976
feature_299,0.0019526022
feature_250,0.0018711329
feature_8,0.0017955017
feature_147,0.001770284
feature_122,0.0017233405
feature_57,0.0016999211
feature_571,0.0016910355
feature_298,0.0016840926
feature_491,0.0016343358
feature_482,0.001629987
feature_61,0.0016294403
feature_77,0.0016210658
feature_418,0.001606564
feature_473,0.001574298
feature_307,0.0015639311
feature_65,0.0014851936
feature_296,0.0014813583
feature_352,0.0014715008
feature_165,0.0014712816
feature_63,0.0014368711
feature_431,0.0014343407
feature_441,0.0013917565
feature_119,0.001360406
feature_468,0.0013370666
feature_351,0.0013356715
feature_203,0.0013325588
feature_118,0.0013023277
feature_423,0.0012965326
feature_546,0.0012425331
feature_338,0.0012309687
feature_460,0.0012084107
feature_287,0.0011835339
feature_224,0.0011757205
feature_95,0.0011705165
feature_437,0.0011625126
feature_107,0.0011371186
feature_225,0.0011076619
feature_16,0.0010979046
feature_25,0.0010967373
feature_92,0.0010721999
feature_440,0.0010441213
feature_87,0.001032615
feature_164,0.0010242024
feature_183,0.0010210979
feature_267,0.00099955
feature_181,0.0009749439
feature_15,0.0009702615
feature_302,0.00096993777
feature_148,0.00096078747
feature_490,0.00095906074
feature_511,0.00095751794
feature_0,0.0009524478
feature_356,0.0009523666
feature_406,0.00093712454
feature_121,0.00092537253
feature_167,0.0009090617
feature_413,0.000905771
feature_90,0.0008953274
feature_145,0.00089407276
feature_35,0.0008073446
feature_541,0.0007915207
feature_584,0.00076641387
feature_75,0.0007525191
feature_452,0.00072481507
