rank_test_score,mean_test_score,std_test_score,mean_train_score,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__min_child_weight,param_model__subsample,param_model__colsample_bytree,param_model__scale_pos_weight
1,0.21108623814488645,0.06252076321722498,0.999727093070262,300,2,0.03,5,0.6,0.9,3.0
2,0.21022668704392822,0.060349081646237,1.0,300,6,0.03,1,1.0,1.0,3.0
3,0.20412957523847314,0.056586815630420916,1.0,300,5,0.1,5,1.0,0.9,3.0
4,0.20352417969633563,0.07239138077633897,1.0,500,5,0.05,5,0.6,1.0,8.0
5,0.20022213130489921,0.06000680649795279,0.9999115484910828,200,6,0.01,10,0.6,0.9,8.0
6,0.19938339217622247,0.057642567337684344,0.9999547715965627,100,3,0.05,1,0.6,0.9,1.0
7,0.1989539689856996,0.08122424111857304,1.0,100,4,0.2,3,0.6,0.5,10.0
8,0.1982982639842758,0.06574505979272072,1.0,300,6,0.05,1,0.8,0.7,14.0964
9,0.19825362164547042,0.062081326871378024,1.0,500,5,0.05,10,1.0,0.9,14.0964
10,0.1975655964693615,0.0565284626954637,0.999864959758008,300,5,0.01,10,0.6,0.7,5.0
11,0.195509674118892,0.0646108974096799,1.0,500,5,0.03,3,0.6,0.5,3.0
12,0.19457940028266246,0.04353375852042034,1.0,200,6,0.05,1,1.0,1.0,5.0
13,0.19306539161945163,0.04668740527792807,1.0,500,6,0.05,3,1.0,0.7,3.0
14,0.1909199511097353,0.043253983877225496,1.0,300,4,0.01,5,0.8,0.5,10.0
15,0.19018786280853292,0.07127668327477814,0.9978571444272617,100,3,0.2,10,0.8,0.5,1.0
16,0.18204686870985026,0.04952156666450626,1.0,500,5,0.1,5,1.0,0.5,5.0
17,0.1796480329327626,0.05987898664437379,1.0,500,4,0.2,1,0.6,0.5,5.0
18,0.17955423353671573,0.017785853035463626,1.0,500,4,0.01,10,1.0,0.5,10.0
19,0.17761805546980294,0.040227067872473155,1.0,500,4,0.2,5,1.0,0.9,3.0
20,0.1775596421419949,0.04415784531594476,1.0,300,6,0.2,10,1.0,0.9,8.0
21,0.17628544777529156,0.03278392213788615,1.0,100,4,0.1,5,1.0,0.5,8.0
22,0.17566390328682693,0.03014072820104897,0.9987549941303417,100,5,0.03,5,1.0,0.9,1.0
23,0.17246075111431552,0.05208339113199551,0.8571393888356148,100,3,0.01,10,1.0,1.0,10.0
24,0.17156864565178873,0.05269277069392328,1.0,200,3,0.1,5,0.6,1.0,10.0
25,0.17002334727576784,0.05541658795717494,1.0,100,6,0.03,5,1.0,0.5,8.0
26,0.1699734778593228,0.037051826867895654,1.0,300,4,0.03,1,1.0,1.0,1.0
27,0.1679787169807193,0.0728967296972306,1.0,100,4,0.2,3,0.6,1.0,10.0
28,0.1669638803871167,0.04175627039550157,1.0,300,5,0.1,5,0.6,1.0,3.0
29,0.16657313813477498,0.06144888123722823,0.997013964523318,100,2,0.1,10,0.6,0.9,5.0
30,0.16648348256708867,0.03725794980399508,1.0,100,3,0.1,5,0.6,0.7,10.0
31,0.1661141576925958,0.06790868221488172,1.0,300,6,0.2,5,0.8,1.0,1.0
32,0.16525230253844075,0.04461285633724337,1.0,300,2,0.2,3,0.6,1.0,10.0
33,0.1650586860150721,0.03400002898496705,1.0,500,5,0.1,3,0.8,0.5,1.0
34,0.16414549874230572,0.044122272438082484,1.0,500,2,0.2,3,0.6,1.0,8.0
35,0.16111164736711908,0.027350457518842623,1.0,200,2,0.1,3,0.8,0.5,14.0964
36,0.1564483163044958,0.059883167424312586,0.8437212638151912,100,3,0.01,3,1.0,1.0,1.0
37,0.15543381608557,0.00925437177248045,0.9901353334702346,200,2,0.03,1,1.0,0.7,5.0
38,0.15273045718263484,0.019405799113854576,0.9760001345091576,200,2,0.03,10,1.0,0.5,8.0
39,0.149141234485616,0.03596668751443622,0.9974029171875223,100,3,0.03,1,1.0,1.0,3.0
40,0.1369279246454465,0.031826664516284624,0.7764513820192512,200,2,0.01,1,1.0,0.9,3.0
